Wavelength (nm),Reference 1,Scan_ID 1,Scan_ID 2,Scan_ID 3,Scan_ID 4,Scan_ID 5,Scan_ID 6,Scan_ID 7,Scan_ID 8,Scan_ID 9,Scan_ID 10,Scan_ID 11,Scan_ID 12,Scan_ID 13,Scan_ID 14,Scan_ID 15,Scan_ID 16,Scan_ID 17,Scan_ID 18,Scan_ID 19,Scan_ID 20,Scan_ID 21,Scan_ID 22,Scan_ID 23,Scan_ID 24,Scan_ID 25,Scan_ID 26
537.1365138087885,63855.0,63995.0,63777.0,63866.0,63808.0,63932.0,63864.0,63894.0,59741.5,59173.5,58028.5,44399.5,45393.0,45044.5,17937.5,17870.5,17811.5,132.5,30862.5,30246.0,31198.0,14735.0,13822.5,14603.0,9819.0,10007.5,9977.5
539.4572563542139,63846.0,63825.0,63756.0,63780.0,63752.0,63864.0,63705.0,63801.0,56662.5,56035.5,54941.0,42136.5,43033.5,42392.5,16946.5,16898.5,16857.5,116.0,29335.0,28661.5,29796.5,13791.0,13188.0,13501.5,9268.0,9513.0,9333.5
541.7722321766622,63785.0,63811.0,63856.0,63765.0,63793.0,63044.0,62906.5,62877.5,54224.0,53285.0,52183.5,40380.5,41084.0,40576.0,16129.5,15959.0,16121.0,13.0,28020.5,27195.5,28488.5,13291.0,12687.5,12748.0,8885.5,9014.0,8946.0
544.081406197922,63777.0,63860.0,63877.0,63790.0,63919.0,60018.5,60078.0,60255.0,51227.0,50160.5,49505.0,38086.0,38889.5,38126.0,14984.0,15076.0,15241.5,1.0,26391.0,25637.0,26723.0,12563.5,11922.0,12023.0,8392.5,8437.5,8477.0
546.3847432065401,63675.0,63660.0,63817.0,63665.0,63818.0,55511.0,55574.0,56221.5,47341.0,46584.0,46289.5,35281.0,36164.0,35538.5,13952.5,13984.5,13964.5,1.0,24612.5,23688.5,24591.5,11637.5,11125.5,11113.5,7860.0,7899.0,7918.0
548.6822078580627,63835.0,63732.0,63818.0,63734.0,63758.0,50685.5,50854.0,50931.5,42953.0,42580.5,41981.0,31987.0,32980.5,32473.5,12804.5,12597.5,12618.0,1.0,22361.0,21309.5,22351.5,10541.0,10189.0,10261.5,7198.5,7311.0,7346.5
550.9737646752745,63876.0,63859.0,63833.0,63776.0,63840.0,46428.5,46788.5,46450.0,39045.5,38668.5,38061.5,29041.0,29921.0,29417.0,11524.0,11383.0,11586.5,1.0,20091.5,19211.0,20173.5,9524.5,9052.0,9443.0,6689.5,6609.0,6482.0
553.2593780484389,63755.0,63828.0,63858.0,63805.0,63872.0,43474.5,43788.5,43702.5,36298.0,35950.5,35350.5,27139.5,27895.0,27367.5,10788.0,10825.5,10709.5,1.0,18730.5,18185.5,18925.0,9062.0,8357.5,8650.0,6209.0,5972.5,6009.0
555.5390122355375,63923.0,63930.0,63972.0,63955.0,63969.0,41331.0,41552.0,41428.5,34212.0,34013.0,33155.5,25688.5,26362.0,25924.0,10180.0,10424.5,10184.0,1.0,17903.0,17481.5,17812.0,8666.5,7981.5,8059.5,5693.0,5627.0,5694.5
557.8126313625115,63827.0,63876.0,63907.0,63772.0,63871.0,40141.5,40082.0,40043.0,33160.0,32965.5,32115.5,24888.5,25539.5,24936.5,9742.5,10046.5,9984.5,1.0,17342.5,16800.0,17149.0,8175.0,7762.5,7976.0,5409.5,5396.5,5690.5
560.0801994235,63779.0,63814.0,63871.0,63760.0,63784.0,39387.0,39442.0,39502.5,32582.5,32576.5,31688.0,24599.5,25109.5,24643.5,9736.5,9844.5,9993.0,1.0,17020.5,16438.5,17179.0,7956.0,7771.0,7905.0,5413.5,5374.0,5678.0
562.3416802810813,63852.0,63851.0,63897.0,63831.0,63871.0,39156.5,39349.5,39543.0,32073.5,32418.0,31715.5,24429.0,24886.0,24729.5,9737.0,9755.0,9798.0,38.5,17030.0,16476.5,16986.5,7923.0,7640.5,7782.5,5473.0,5386.0,5363.5
564.5970376665123,63768.0,63816.0,63871.0,63699.0,63841.0,39580.0,39552.5,39715.0,32300.5,32684.5,32261.5,24378.0,25279.5,24862.0,9884.0,9831.0,9740.5,65.0,17194.5,16604.0,17214.5,7957.5,7571.0,7775.0,5615.0,5315.5,5273.5
566.8462351799682,63828.0,63901.0,63984.0,63848.0,63925.0,40331.0,40049.0,40225.5,33117.0,33233.5,32594.0,24791.5,25488.0,25251.5,10078.0,9872.5,9983.5,47.0,17429.5,16855.5,17538.0,8133.5,7787.5,7830.5,5747.0,5441.5,5524.0
569.0892362907836,63762.0,63769.0,63800.0,63832.0,63825.0,40548.5,40427.5,40783.5,33403.5,33447.5,32897.0,25216.0,25553.0,25607.5,10104.0,9889.0,9892.5,95.0,17696.5,17075.0,17532.5,8177.5,7831.0,7955.5,5699.5,5498.5,5568.5
571.3260043376913,63797.0,63718.0,63729.0,63784.0,63755.0,40399.5,40386.0,40600.5,33195.5,33263.5,33004.5,25052.5,25485.0,25441.0,9986.5,9928.0,9852.5,23.0,17676.5,16924.5,17443.0,8014.5,7799.5,7874.0,5667.0,5412.5,5515.5
573.5565025290629,64039.0,63923.0,63961.0,63992.0,63941.0,39928.5,40068.0,39894.5,32888.5,32768.5,32588.0,24497.0,25182.5,24755.5,9827.5,9804.5,9793.0,1.0,17342.5,16557.0,17317.0,7852.5,7731.0,7688.5,5650.5,5579.0,5451.0
