wl,S001,S002
598.507678,25477.000000,25477.000000
598.952028,25422.428571,25422.428571
599.396359,25246.428571,25246.428571
599.840671,25453.428571,25453.428571
600.284966,25335.714286,25335.714286
600.729242,25371.571429,25371.571429
601.173501,25403.142857,25403.142857
601.617740,25574.000000,25574.000000
602.061962,25526.428571,25526.428571
602.506165,25621.857143,25621.857143
602.950351,25675.000000,25675.000000
603.394517,25798.714286,25798.714286
603.838666,25776.714286,25776.714286
604.282796,25669.714286,25669.714286
604.726908,25330.857143,25330.857143
605.171002,25390.857143,25390.857143
605.615077,25512.428571,25512.428571
606.059134,25223.142857,25223.142857
606.503173,24956.285714,24956.285714
606.947193,25108.857143,25108.857143
607.391195,24963.571429,24963.571429
607.835179,24981.285714,24981.285714
608.279144,24906.857143,24906.857143
608.723091,24698.571429,24698.571429
609.167019,24468.857143,24468.857143
609.610929,24320.714286,24320.714286
610.054821,23938.714286,23938.714286
610.498694,23700.857143,23700.857143
610.942549,23462.857143,23462.857143
611.386385,23185.142857,23185.142857
611.830203,22973.142857,22973.142857
612.274003,22702.142857,22702.142857
612.717784,22509.285714,22509.285714
613.161546,22339.142857,22339.142857
613.605290,22112.571429,22112.571429
614.049016,21957.000000,21957.000000
614.492723,21630.428571,21630.428571
614.936411,21372.428571,21372.428571
615.380081,21294.714286,21294.714286
615.823733,21041.142857,21041.142857
616.267366,20715.428571,20715.428571
616.710980,20565.857143,20565.857143
617.154576,20359.857143,20359.857143
617.598153,20255.285714,20255.285714
618.041712,20175.428571,20175.428571
618.485252,20002.714286,20002.714286
618.928774,20042.714286,20042.714286
619.372277,20153.285714,20153.285714
619.815761,19983.285714,19983.285714
620.259227,20019.714286,20019.714286
620.702674,19866.428571,19866.428571
621.146103,19781.000000,19781.000000
621.589513,19594.571429,19594.571429
622.032904,19549.857143,19549.857143
622.476277,19511.000000,19511.000000
622.919631,19526.571429,19526.571429
623.362966,19607.285714,19607.285714
623.806283,19823.714286,19823.714286
624.249581,19964.428571,19964.428571
624.692860,20253.857143,20253.857143
625.136120,20522.857143,20522.857143
625.579362,20669.857143,20669.857143
626.022585,20955.285714,20955.285714
626.465789,20856.000000,20856.000000
626.908975,20841.857143,20841.857143
627.352142,20618.428571,20618.428571
627.795290,20574.428571,20574.428571
628.238419,20408.000000,20408.000000
628.681530,20233.714286,20233.714286
629.124621,19859.571429,19859.571429
629.567694,19842.000000,19842.000000
630.010749,19790.714286,19790.714286
630.453784,19942.000000,19942.000000
630.896800,19588.857143,19588.857143
631.339798,19353.142857,19353.142857
631.782777,19266.285714,19266.285714
632.225737,19353.428571,19353.428571
632.668678,19290.857143,19290.857143
633.111600,19273.142857,19273.142857
633.554504,19097.285714,19097.285714
633.997388,19285.000000,19285.000000
634.440254,19339.142857,19339.142857
634.883100,19391.714286,19391.714286
635.325928,19284.285714,19284.285714
635.768737,19110.571429,19110.571429
636.211527,18907.142857,18907.142857
636.654298,18890.000000,18890.000000
637.097050,18885.142857,18885.142857
637.539783,18634.142857,18634.142857
637.982497,18526.142857,18526.142857
638.425192,18615.000000,18615.000000
638.867869,18610.285714,18610.285714
639.310526,18654.000000,18654.000000
639.753164,18351.285714,18351.285714
640.195783,18265.000000,18265.000000
640.638383,18410.571429,18410.571429
641.080964,18144.142857,18144.142857
641.523527,18067.714286,18067.714286
641.966070,17996.000000,17996.000000
642.408594,17864.857143,17864.857143
642.851099,18008.857143,18008.857143
643.293585,17879.571429,17879.571429
643.736051,17759.571429,17759.571429
644.178499,17955.428571,17955.428571
644.620928,17748.428571,17748.428571
645.063337,17633.285714,17633.285714
645.505728,17583.142857,17583.142857
645.948099,17447.714286,17447.714286
646.390451,17491.714286,17491.714286
646.832784,17618.000000,17618.000000
647.275098,17574.714286,17574.714286
647.717393,17589.571429,17589.571429
648.159668,17489.285714,17489.285714
648.601925,17626.142857,17626.142857
649.044162,17627.571429,17627.571429
649.486380,17512.000000,17512.000000
649.928579,17383.285714,17383.285714
650.370758,17336.857143,17336.857143
650.812919,17498.000000,17498.000000
651.255060,17686.714286,17686.714286
651.697182,17457.428571,17457.428571
652.139284,17578.428571,17578.428571
652.581368,17718.857143,17718.857143
653.023432,17694.142857,17694.142857
653.465477,17660.142857,17660.142857
653.907502,17793.428571,17793.428571
654.349509,17751.714286,17751.714286
654.791496,17866.285714,17866.285714
655.233463,17878.571429,17878.571429
655.675412,17793.285714,17793.285714
656.117341,17919.285714,17919.285714
656.559251,17808.000000,17808.000000
657.001141,17712.142857,17712.142857
657.443012,17921.857143,17921.857143
657.884864,17965.000000,17965.000000
658.326696,17946.285714,17946.285714
658.768509,18108.000000,18108.000000
659.210302,18164.142857,18164.142857
659.652077,18128.285714,18128.285714
660.093831,18030.714286,18030.714286
660.535567,17688.285714,17688.285714
660.977283,17549.142857,17549.142857
661.418979,17410.285714,17410.285714
661.860656,17328.428571,17328.428571
662.302314,17085.571429,17085.571429
662.743952,17193.285714,17193.285714
663.185571,17154.000000,17154.000000
663.627170,17143.142857,17143.142857
664.068749,17078.428571,17078.428571
664.510310,17175.571429,17175.571429
664.951850,17018.857143,17018.857143
665.393372,16884.142857,16884.142857
665.834873,16699.000000,16699.000000
666.276355,16764.857143,16764.857143
666.717818,16740.000000,16740.000000
667.159261,16711.142857,16711.142857
667.600685,16684.142857,16684.142857
668.042089,16517.857143,16517.857143
668.483473,16551.857143,16551.857143
668.924838,16392.285714,16392.285714
669.366183,15967.142857,15967.142857
669.807509,16006.428571,16006.428571
670.248815,15877.857143,15877.857143
670.690101,15634.857143,15634.857143
671.131368,15656.142857,15656.142857
671.572615,15488.428571,15488.428571
672.013843,15622.428571,15622.428571
672.455051,15754.714286,15754.714286
672.896239,15674.714286,15674.714286
673.337407,15710.142857,15710.142857
673.778556,15787.714286,15787.714286
674.219685,15812.428571,15812.428571
674.660795,15844.571429,15844.571429
675.101885,15869.714286,15869.714286
675.542955,15857.714286,15857.714286
675.984005,15902.857143,15902.857143
676.425036,15916.714286,15916.714286
676.866047,15997.571429,15997.571429
677.307038,15954.714286,15954.714286
677.748009,15954.142857,15954.142857
678.188961,16021.857143,16021.857143
678.629893,15938.428571,15938.428571
679.070805,15920.428571,15920.428571
679.511697,15904.285714,15904.285714
679.952570,15893.571429,15893.571429
